# Joukowski airfoil case 4
# a = 1, xi0 = -0.1, eta0 = 0, r = 1.1
# x   y   x/a   y/a
1.184795 -0.059889 1.184795 -0.059889
1.199599 -0.058398 1.199599 -0.058398
1.214311 -0.056924 1.214311 -0.056924
1.228930 -0.055466 1.228930 -0.055466
1.243455 -0.054026 1.243455 -0.054026
1.257883 -0.052602 1.257883 -0.052602
1.272213 -0.051196 1.272213 -0.051196
1.286444 -0.049808 1.286444 -0.049808
1.300574 -0.048438 1.300574 -0.048438
1.314603 -0.047086 1.314603 -0.047086
1.328527 -0.045752 1.328527 -0.045752
1.342347 -0.044437 1.342347 -0.044437
1.356060 -0.043141 1.356060 -0.043141
1.369665 -0.041864 1.369665 -0.041864
1.383160 -0.040606 1.383160 -0.040606
1.396545 -0.039368 1.396545 -0.039368
1.409817 -0.038149 1.409817 -0.038149
1.422975 -0.036950 1.422975 -0.036950
1.436018 -0.035771 1.436018 -0.035771
1.448945 -0.034611 1.448945 -0.034611
1.461753 -0.033472 1.461753 -0.033472
1.474442 -0.032353 1.474442 -0.032353
1.487009 -0.031255 1.487009 -0.031255
1.499455 -0.030177 1.499455 -0.030177
1.511777 -0.029119 1.511777 -0.029119
1.523973 -0.028083 1.523973 -0.028083
1.536044 -0.027066 1.536044 -0.027066
1.547986 -0.026071 1.547986 -0.026071
1.559800 -0.025096 1.559800 -0.025096
1.571482 -0.024142 1.571482 -0.024142
1.583033 -0.023209 1.583033 -0.023209
1.594451 -0.022297 1.594451 -0.022297
1.605734 -0.021405 1.605734 -0.021405
1.616882 -0.020535 1.616882 -0.020535
1.627892 -0.019685 1.627892 -0.019685
1.638765 -0.018856 1.638765 -0.018856
1.649497 -0.018048 1.649497 -0.018048
1.660089 -0.017260 1.660089 -0.017260
1.670538 -0.016493 1.670538 -0.016493
1.680845 -0.015747 1.680845 -0.015747
1.691006 -0.015021 1.691006 -0.015021
1.701022 -0.014315 1.701022 -0.014315
1.710891 -0.013630 1.710891 -0.013630
1.720612 -0.012965 1.720612 -0.012965
1.730184 -0.012320 1.730184 -0.012320
1.739605 -0.011694 1.739605 -0.011694
1.748874 -0.011089 1.748874 -0.011089
1.757991 -0.010503 1.757991 -0.010503
1.766954 -0.009936 1.766954 -0.009936
1.775763 -0.009389 1.775763 -0.009389
1.784415 -0.008860 1.784415 -0.008860
1.792910 -0.008351 1.792910 -0.008351
1.801247 -0.007860 1.801247 -0.007860
1.809425 -0.007388 1.809425 -0.007388
1.817443 -0.006933 1.817443 -0.006933
1.825300 -0.006497 1.825300 -0.006497
1.832995 -0.006078 1.832995 -0.006078
1.840527 -0.005677 1.840527 -0.005677
1.847895 -0.005293 1.847895 -0.005293
1.855098 -0.004926 1.855098 -0.004926
1.862136 -0.004576 1.862136 -0.004576
1.869007 -0.004242 1.869007 -0.004242
1.875710 -0.003924 1.875710 -0.003924
1.882245 -0.003621 1.882245 -0.003621
1.888611 -0.003334 1.888611 -0.003334
1.894807 -0.003062 1.894807 -0.003062
1.900832 -0.002805 1.900832 -0.002805
1.906685 -0.002562 1.906685 -0.002562
1.912367 -0.002333 1.912367 -0.002333
1.917875 -0.002118 1.917875 -0.002118
1.923210 -0.001917 1.923210 -0.001917
1.928370 -0.001728 1.928370 -0.001728
1.933356 -0.001551 1.933356 -0.001551
1.938165 -0.001387 1.938165 -0.001387
1.942799 -0.001235 1.942799 -0.001235
1.947255 -0.001094 1.947255 -0.001094
1.951534 -0.000964 1.951534 -0.000964
1.955635 -0.000845 1.955635 -0.000845
1.959558 -0.000736 1.959558 -0.000736
1.963302 -0.000636 1.963302 -0.000636
1.966866 -0.000546 1.966866 -0.000546
1.970250 -0.000465 1.970250 -0.000465
1.973453 -0.000392 1.973453 -0.000392
1.976476 -0.000327 1.976476 -0.000327
1.979318 -0.000270 1.979318 -0.000270
1.981978 -0.000219 1.981978 -0.000219
1.984456 -0.000176 1.984456 -0.000176
1.986752 -0.000138 1.986752 -0.000138
1.988865 -0.000107 1.988865 -0.000107
1.990795 -0.000080 1.990795 -0.000080
1.992543 -0.000058 1.992543 -0.000058
1.994107 -0.000041 1.994107 -0.000041
1.995487 -0.000028 1.995487 -0.000028
1.996684 -0.000017 1.996684 -0.000017
1.997697 -0.000010 1.997697 -0.000010
1.998526 -0.000005 1.998526 -0.000005
1.999171 -0.000002 1.999171 -0.000002
1.999631 -0.000001 1.999631 -0.000001
1.999908 -0.000000 1.999908 -0.000000
2.000000 -0.000000 2.000000 -0.000000
